"";"dataDictionaryName";"dataElementNumber";"IncludedinCEAPR"
"1";"CurrentEdStatus";"C3";"No"
"2";"MostRecentEdStatus";"C3";"No"
"3";"CurrentSchoolAttend";"C3";"No"
"4";"ReferralResult";"4.20";"Yes"
"5";"ReferralCaseManageAfter";"4.20";"Yes"
"6";"ProbSolDivRRResult";"4.20";"Yes"
"7";"Event";"4.20";"Yes"
"8";"PrioritizationStatus";"4.19";"Yes"
"9";"AssessmentLevel";"4.19";"Yes"
"10";"AssessmentType";"4.19";"Yes"
"11";"MovedTwoOrMore";"4.12";"No"
"12";"LeaseOwn60Day";"4.12";"No"
"13";"ResourcesToObtain";"4.12";"No"
"14";"SubsequentResidence";"4.12";"No"
"15";"LeaveSituation14Days";"4.12";"No"
"16";"CLSSubsidyType";"4.12";"No"
"17";"CurrentLivingSituation";"4.12";"No"
"18";"ReferralOutcome";"P2";"No"
"19";"AntiRetroviral";"W6";"No"
"20";"ViralLoadSource";"W4";"No"
"21";"ViralLoadAvailable";"W4";"No"
"22";"TCellSource";"W4";"No"
"23";"TCellCountAvailable";"W4";"No"
"24";"NotEmployedReason";"R6";"No"
"25";"EmploymentType";"R6";"No"
"26";"Employed";"R6";"No"
"27";"SchoolStatus";"R5";"No"
"28";"LastGradeCompleted";"R4";"No"
"29";"PregnancyStatus";"R10";"No"
"30";"MentalHealthStatus";"R9";"No"
"31";"DentalHealthStatus";"R8";"No"
"32";"GeneralHealthStatus";"R7";"No"
"33";"CurrentlyFleeing";"4.11";"No"
"34";"WhenOccurred";"4.11";"No"
"35";"DomesticViolenceSurvivor";"4.11";"No"
"36";"ConnectionWithSOAR";"P4";"No"
"37";"NoRyanWhiteReason";"W3";"No"
"38";"RyanWhiteMedDent";"W3";"No"
"39";"NoADAPReason";"W3";"No"
"40";"ADAP";"W3";"No"
"41";"OtherInsurance";"4.04";"No"
"42";"NoIndianHealthServicesReason";"4.04";"No"
"43";"IndianHealthServices";"4.04";"No"
"44";"NoStateHealthInsReason";"4.04";"No"
"45";"StateHealthIns";"4.04";"No"
"46";"NoPrivatePayReason";"4.04";"No"
"47";"PrivatePay";"4.04";"No"
"48";"NoCOBRAReason";"4.04";"No"
"49";"COBRA";"4.04";"No"
"50";"NoEmployerProvidedReason";"4.04";"No"
"51";"EmployerProvided";"4.04";"No"
"52";"NoVHAReason";"4.04";"No"
"53";"VHAServices";"4.04";"No"
"54";"NoSCHIPReason";"4.04";"No"
"55";"SCHIP";"4.04";"No"
"56";"NoMedicareReason";"4.04";"No"
"57";"Medicare";"4.04";"No"
"58";"NoMedicaidReason";"4.04";"No"
"59";"Medicaid";"4.04";"No"
"60";"InsuranceFromAnySource";"4.04";"No"
"61";"OtherBenefitsSource";"4.03";"No"
"62";"OtherTANF";"4.03";"No"
"63";"TANFTransportation";"4.03";"No"
"64";"TANFChildCare";"4.03";"No"
"65";"WIC";"4.03";"No"
"66";"SNAP";"4.03";"No"
"67";"BenefitsFromAnySource";"4.03";"No"
"68";"OtherIncomeSource";"4.02";"No"
"69";"Alimony";"4.02";"No"
"70";"ChildSupport";"4.02";"No"
"71";"Pension";"4.02";"No"
"72";"SocSecRetirement";"4.02";"No"
"73";"GA";"4.02";"No"
"74";"TANF";"4.02";"No"
"75";"WorkersComp";"4.02";"No"
"76";"PrivateDisability";"4.02";"No"
"77";"VADisabilityNonService";"4.02";"No"
"78";"VADisabilityService";"4.02";"No"
"79";"SSDI";"4.02";"No"
"80";"SSI";"4.02";"No"
"81";"Unemployment";"4.02";"No"
"82";"Earned";"4.02";"No"
"83";"IncomeFromAnySource";"4.02";"No"
"84";"CMExitReason";"V9";"No"
"85";"InPersonGroup";"R20";"No"
"86";"InPersonIndividual";"R20";"No"
"87";"Telephone";"R20";"No"
"88";"EmailSocialMedia";"R20";"No"
"89";"AftercareProvided";"R20";"No"
"90";"PosCommunityConnections";"R19";"No"
"91";"PosPeerConnections";"R19";"No"
"92";"PosAdultConnections";"R19";"No"
"93";"DestinationSafeWorker";"R19";"No"
"94";"DestinationSafeClient";"R19";"No"
"95";"PostExitCounselingPlan";"R18";"No"
"96";"GroupCounseling";"R18";"No"
"97";"FamilyCounseling";"R18";"No"
"98";"IndividualCounseling";"R18";"No"
"99";"CounselingReceived";"R18";"No"
"100";"LaborExploitPastThreeMonths";"R16";"No"
"101";"CoercedToContinueWork";"R16";"No"
"102";"WorkplacePromiseDifference";"R16";"No"
"103";"WorkplaceViolenceThreats";"R16";"No"
"104";"AskedOrForcedToExchangeForSexPastThreeMonths";"R15";"No"
"105";"AskedOrForcedToExchangeForSex";"R15";"No"
"106";"CountOfExchangeForSex";"R15";"No"
"107";"ExchangeForSexPastThreeMonths";"R15";"No"
"108";"ExchangeForSex";"R15";"No"
"109";"EarlyExitReason";"R17";"No"
"110";"ProjectCompletionStatus";"R17";"No"
"111";"SubsidyInformation";"W5";"No"
"112";"SubsidyInformation";"W5";"No"
"113";"DestinationSubsidyType";"3.12";"No"
"114";"Destination";"3.12";"No"
"115";"TranslationNeeded";"C4";"No"
"116";"MentalHealthConsultation";"V10";"No"
"117";"CoCPrioritized";"V7";"No"
"118";"HH5Plus";"V7";"No"
"119";"DependentUnder6";"V7";"No"
"120";"SingleParent";"V7";"No"
"121";"CurrentPregnant";"V7";"No"
"122";"DisabledHoH";"V7";"No"
"123";"SexOffender";"V7";"No"
"124";"PrisonDischarge";"V7";"No"
"125";"IncarceratedAdult";"V7";"No"
"126";"CriminalRecord";"V7";"No"
"127";"EvictionHistory";"V7";"No"
"128";"SubsidyAtRisk";"V7";"No"
"129";"HOHLeaseholder";"V7";"No"
"130";"ClientLeaseholder";"V7";"No"
"131";"LiteralHomelessHistory";"V7";"No"
"132";"AnnualPercentAMI";"V7";"No"
"133";"TimeToHousingLoss";"V7";"No"
"134";"TargetScreenReqd";"V7";"No"
"135";"VAMCStation";"V6";"No"
"136";"IncarceratedParent";"R13";"No"
"137";"InsufficientIncome";"R13";"No"
"138";"AlcoholDrugUseDisorderFam";"R13";"No"
"139";"PhysicalDisabilityFam";"R13";"No"
"140";"MentalHealthDisorderFam";"R13";"No"
"141";"UnemploymentFam";"R13";"No"
"142";"JuvenileJusticeYears";"R12";"No"
"143";"FormerWardJuvenileJustice";"R12";"No"
"144";"ChildWelfareYears";"R11";"No"
"145";"FormerWardChildWelfare";"R11";"No"
"146";"RunawayYouth";"R2";"No"
"147";"ReasonNoServices";"R2";"No"
"148";"EligibleForRHY";"R2";"No"
"149";"ReferralSource";"R1";"No"
"150";"PercentAMI";"V4";"No"
"151";"ReasonNotEnrolled";"P3";"No"
"152";"ClientEnrolledInPATH";"P3";"No"
"153";"DisablingCondition";"3.08";"No"
"154";"MonthsHomelessPastThreeYears";"3.917";"No"
"155";"TimesHomelessPastThreeYears";"3.917";"No"
"156";"PreviousStreetESSH";"3.917";"No"
"157";"LOSUnderThreshold";"3.917";"No"
"158";"LOSUnderThreshold";"3.917";"No"
"159";"LengthOfStay";"3.917";"No"
"160";"RentalSubsidyType";"3.917";"No"
"161";"LivingSituation";"3.917";"No"
"162";"RelationshipToHoH";"3.15";"Yes"
"163";"DischargeStatus";"V1";"No"
"164";"MilitaryBranch";"V1";"No"
"165";"OtherTheater";"V1";"No"
"166";"IraqOND";"V1";"No"
"167";"IraqOIF";"V1";"No"
"168";"AfghanistanOEF";"V1";"No"
"169";"DesertStorm";"V1";"No"
"170";"VietnamWar";"V1";"No"
"171";"KoreanWar";"V1";"No"
"172";"WorldWarII";"V1";"No"
"173";"VeteranStatus";"3.07";"Yes"
"174";"RaceNone";"3.04";"No"
"175";"White";"3.04";"No"
"176";"NativeHIPacific";"3.04";"No"
"177";"MidEastNAfrican";"3.04";"No"
"178";"HispanicLatinao";"3.04";"No"
"179";"BlackAfAmerican";"3.04";"No"
"180";"Asian";"3.04";"No"
"181";"AmIndAKNative";"3.04";"No"
"182";"Sex";"4.21";"No"
"183";"DOBDataQuality";"3.03";"No"
"184";"SSNDataQuality";"3.02";"No"
"185";"NameDataQuality";"3.01";"No"
"186";"ReceivesReferrals";"2.09";"No"
"187";"DirectServices";"2.09";"No"
"188";"HousingAssessment";"W5";"No"
"189";"HousingAssessment";"W5";"No"
"190";"HousingAssessment";"2.09";"Yes"
"191";"HousingAssessment";"2.09";"No"
"192";"CrisisAssessment";"2.09";"No"
"193";"PreventionAssessment";"2.09";"No"
"194";"AccessPoint";"2.09";"Yes"
"195";"HMISParticipationType";"2.08";"No"
"196";"ESBedType";"2.07";"No"
"197";"Availability";"2.07";"No"
"198";"HouseholdType";"2.07";"No"
"199";"GeographyType";"2.03";"No"
"200";"Funder";"2.06";"No"
"201";"HOPWAMedAssistedLivingFac";"2.02";"No"
"202";"TargetPopulation";"2.02";"No"
"203";"ResidentialAffiliation";"2.02";"No"
"204";"RRHSubType";"2.02";"No"
"205";"HousingType";"2.02";"No"
"206";"ProjectType";"2.02";"Yes"
"207";"ContinuumProject";"2.02";"No"
"208";"VictimServiceProvider";"2.01";"Yes"
"209";"ResultDate";"4.20";"No"
"210";"LocationCrisisOrPHHousing";"4.20";"No"
"211";"EventDate";"4.20";"No"
"212";"AssessmentResult";"4.19";"No"
"213";"AssessmentResultType";"4.19";"No"
"214";"AssessmentAnswer";"4.19";"No"
"215";"AssessmentQuestion";"4.19";"No"
"216";"AssessmentLocation";"4.19";"No"
"217";"AssessmentDate";"4.19";"Yes"
"218";"LocationDetails";"4.12";"No"
"219";"VerifiedBy";"4.12";"No"
"220";"ExportID";"FW";"No"
"221";"FAEndDate";"V3";"No"
"222";"FAStartDate";"V3";"No"
"223";"FAAmount";"V3";"No"
"224";"FAAmount";"W2";"No"
"225";"SubTypeProvided";"V2";"No"
"226";"SubTypeProvided";"V2";"No"
"227";"SubTypeProvided";"V2";"No"
"228";"MovingOnOtherType";"C2";"No"
"229";"OtherTypeProvided";"V8";"No"
"230";"OtherTypeProvided";"V8";"No"
"231";"OtherTypeProvided";"V2";"No"
"232";"OtherTypeProvided";"V2";"No"
"233";"ViralLoad";"W4";"No"
"234";"TCellCount";"W4";"No"
"235";"DueDate";"R10";"No"
"236";"InformationDate";"C3";"No"
"237";"InformationDate";"4.12";"No"
"238";"InformationDate";"R6";"No"
"239";"InformationDate";"4.11";"No"
"240";"OtherInsuranceIdentify";"4.04";"No"
"241";"OtherBenefitsSourceIdentify";"4.03";"No"
"242";"OtherIncomeSourceIdentify";"4.02";"No"
"243";"OtherIncomeAmount";"4.02";"No"
"244";"AlimonyAmount";"4.02";"No"
"245";"ChildSupportAmount";"4.02";"No"
"246";"PensionAmount";"4.02";"No"
"247";"SocSecRetirementAmount";"4.02";"No"
"248";"GAAmount";"4.02";"No"
"249";"TANFAmount";"4.02";"No"
"250";"WorkersCompAmount";"4.02";"No"
"251";"PrivateDisabilityAmount";"4.02";"No"
"252";"VADisabilityNonServiceAmount";"4.02";"No"
"253";"VADisabilityServiceAmount";"4.02";"No"
"254";"SSDIAmount";"4.02";"No"
"255";"SSIAmount";"4.02";"No"
"256";"UnemploymentAmount";"4.02";"No"
"257";"EarnedAmount";"4.02";"No"
"258";"TotalMonthlyIncome";"4.02";"No"
"259";"AftercareDate";"R20";"No"
"260";"SessionsInPlan";"R18";"No"
"261";"SessionCountAtExit";"R18";"No"
"262";"OtherDestination";"3.12";"No"
"263";"ExitDate";"3.11";"Yes"
"264";"PreferredLanguageDifferent";"C4";"No"
"265";"PreferredLanguage";"C4";"No"
"266";"ThresholdScore";"V7";"No"
"267";"HPScreeningScore";"V7";"No"
"268";"JuvenileJusticeMonths";"R12";"No"
"269";"ChildWelfareMonths";"R11";"No"
"270";"DateOfBCPStatus";"R2";"No"
"271";"CountOutreachReferralApproaches";"R1";"No"
"272";"DateOfPATHStatus";"P3";"No"
"273";"MoveInDate";"3.20";"No"
"274";"DateOfEngagement";"4.13";"No"
"275";"DateToStreetESSH";"3.917";"No"
"276";"EnrollmentCoC";"3.16";"No"
"277";"HouseholdID";"5.09";"No"
"278";"EntryDate";"3.10";"Yes"
"279";"EnrollmentID";"5.06";"No"
"280";"YearSeparated";"V1";"No"
"281";"YearEnteredService";"V1";"No"
"282";"AdditionalRaceEthnicity";"3.04";"No"
"283";"DOB";"3.03";"Yes"
"284";"SSN[1]";"3.02";"No"
"285";"NameSuffix";"3.01";"No"
"286";"LastName";"3.01";"No"
"287";"MiddleName";"3.01";"No"
"288";"FirstName";"3.01";"No"
"289";"PersonalID";"5.08";"No"
"290";"CEParticipationStatusEndDate";"2.09";"No"
